80,0
2007,1
8007,2
20880,3
94,4
49149,5
45077,6
3010,7
45035,8
2091,9
10101,10
3050,11
3021,12
8899,13
72,14
8119,15
443,16
1011,17
3804,18
1952,19
2104,20
832,21
3274,22
4087,23
14147,24
3286,25
2160,26
2203,27
4009,28
8291,29
3443,30
3689,31
8443,32
2643,33
1912,34
3666,35
995,36
1080,37
882,38
55555,39
2713,40
901,41
2000,42
2692,43
567,44
1986,45
1723,46
8203,47
8080,48
296,49
892,50
3033,51
1192,52
2019,53
6560,54
4041,55
6789,56
3058,57
1717,58
2382,59
3335,60
2771,61
2591,62
4064,63
2086,64
2843,65
973,66
2419,67
2900,68
2541,69
2575,70
8197,71
177,72
1170,73
2346,74
18001,75
49155,76
1714,77
803,78
6004,79
2083,80
1821,81
2630,82
3501,83
2546,84
2991,85
2229,86
2579,87
2031,88
2838,89
124,90
110,91
45554,92
70,93
548,94
134,95
8880,96
1362,97
991,98
140,99
8212,100
3009,101
8283,102
1456,103
67,104
1660,105
8030,106
2193,107
2261,108
51106,109
2303,110
2517,111
2087,112
125,113
4700,114
9009,115
68,116
3151,117
3408,118
41,119
1173,120
1900,121
3051,122
1588,123
8371,124
50100,125
3622,126
18083,127
2096,128
2319,129
288,130
1241,131
2969,132
5985,133
8379,134
2301,135
101,136
500,137
3039,138
4911,139
3000,140
10000,141
81,142
3106,143
2082,144
1038,145
2199,146
930,147
188,148
2129,149
2695,150
3951,151
3389,152
7778,153
2315,154
7474,155
1399,156
8381,157
8060,158
3011,159
53,160
2014,161
368,162
3030,163
5084,164
4190,165
1112,166
77,167
2401,168
1830,169
4433,170
6565,171
8112,172
2064,173
4848,174
62,175
21,176
5010,177
2136,178
3246,179
2150,180
2556,181
2400,182
1985,183
1489,184
3024,185
1424,186
3415,187
1487,188
9095,189
448,190
4712,191
4430,192
3713,193
2631,194
8310,195
2463,196
2365,197
837,198
33000,199
9072,200
3826,201
10060,202
1172,203
3873,204
8876,205
280,206
10084,207
993,208
2190,209
3070,210
2587,211
