0,80
1,2007
2,8007
3,20880
4,94
5,49149
6,45077
7,3010
8,45035
9,2091
10,10101
11,3050
12,3021
13,8899
14,72
15,8119
16,443
17,1011
18,3804
19,1952
20,2104
21,832
22,3274
23,4087
24,14147
25,3286
26,2160
27,2203
28,4009
29,8291
30,3443
31,3689
32,8443
33,2643
34,1912
35,3666
36,995
37,1080
38,882
39,55555
40,2713
41,901
42,2000
43,2692
44,567
45,1986
46,1723
47,8203
48,8080
49,296
50,892
51,3033
52,1192
53,2019
54,6560
55,4041
56,6789
57,3058
58,1717
59,2382
60,3335
61,2771
62,2591
63,4064
64,2086
65,2843
66,973
67,2419
68,2900
69,2541
70,2575
71,8197
72,177
73,1170
74,2346
75,18001
76,49155
77,1714
78,803
79,6004
80,2083
81,1821
82,2630
83,3501
84,2546
85,2991
86,2229
87,2579
88,2031
89,2838
90,124
91,110
92,45554
93,70
94,548
95,134
96,8880
97,1362
98,991
99,140
100,8212
101,3009
102,8283
103,1456
104,67
105,1660
106,8030
107,2193
108,2261
109,51106
110,2303
111,2517
112,2087
113,125
114,4700
115,9009
116,68
117,3151
118,3408
119,41
120,1173
121,1900
122,3051
123,1588
124,8371
125,50100
126,3622
127,18083
128,2096
129,2319
130,288
131,1241
132,2969
133,5985
134,8379
135,2301
136,101
137,500
138,3039
139,4911
140,3000
141,10000
142,81
143,3106
144,2082
145,1038
146,2199
147,930
148,188
149,2129
150,2695
151,3951
152,3389
153,7778
154,2315
155,7474
156,1399
157,8381
158,8060
159,3011
160,53
161,2014
162,368
163,3030
164,5084
165,4190
166,1112
167,77
168,2401
169,1830
170,4433
171,6565
172,8112
173,2064
174,4848
175,62
176,21
177,5010
178,2136
179,3246
180,2150
181,2556
182,2400
183,1985
184,1489
185,3024
186,1424
187,3415
188,1487
189,9095
190,448
191,4712
192,4430
193,3713
194,2631
195,8310
196,2463
197,2365
198,837
199,33000
200,9072
201,3826
202,10060
203,1172
204,3873
205,8876
206,280
207,10084
208,993
209,2190
210,3070
211,2587
212,2953
213,2720
214,3377
215,3519
216,3792
217,1805
218,2233
219,810
220,9527
221,1008
222,2194
223,8124
224,587
225,2576
226,3133
227,3805
228,3287
229,3720
230,1564
231,3283
232,1454
233,2659
234,3540
235,322
236,3025
237,2715
238,1200
239,2987
240,4443
241,281
242,3850
243,52860
244,8287
245,54093
246,9224
247,1352
248,2101
249,8275
250,8213
251,8091
252,6006
253,1804
254,521
255,19092
256,8006
257,259
258,608
259,2241
260,2072
261,138
262,1552
263,1005
264,2443
265,8202
266,16010
267,1090
268,8889
269,3031
270,8297
271,51
272,4063
273,3620
274,3298
275,3290
276,3272
277,4092
278,3234
279,3048
280,3223
281,3026
282,3937
283,2172
284,16000
285,506
286,3210
287,2305
288,4567
289,1689
290,2028
291,557
292,2373
293,890
294,799
295,665
296,572
297,1732
298,2154
299,75
300,2985
301,8099
302,2266
303,2161
304,8888
305,45224
306,49170
307,49300
308,935
309,49366
310,45076
311,45260
312,23456
313,5702
314,49213
315,2888
316,8898
317,45230
318,412
319,8385
320,4000
321,38739
322,53850
323,62184
324,610
325,3488
326,56006
327,932
328,34185
329,1590
330,147
331,48494
332,1505
333,944
334,40113
335,57845
336,4040
337,2873
338,3944
339,392
340,1149
341,3240
342,2369
343,4017
344,8302
345,2495
346,3780
347,2955
348,8089
349,3019
350,3427
351,8890
352,4444
353,1067
354,441
355,1180
356,440
357,2437
358,3299
359,800
360,2538
361,2050
362,1175
363,5000
364,2741
365,2633
366,2010
367,1179
368,4505
369,2485
370,539
371,3919
372,2648
373,1279
374,1638
375,2134
376,1848
377,327
378,2277
379,3652
380,671
381,220
382,2745
383,3109
384,4022
385,2185
386,8604
387,2636
388,347
389,12101
390,477
391,1720
392,8649
393,3281
394,3388
395,4369
396,3097
397,1988
398,1813
399,2523
400,4155
401,734
402,1600
403,1923
404,2971
405,3658
